"Organism","Limb_width","Limb_length","Observer"
"Patagioenas fasciata",0.493903487549159,7.02323685188732,"Grant S"
"Patagioenas fasciata",0.00944252607469864,7.88268788532175,"Mia R"
"Patagioenas leucocephala",1.69540375892703,4.52174584749316,"Grant S"
"Patagioenas fasciata",1.13800900175367,7.11345733150675,"Mia R"
"Patagioenas caribaea",1.43985399788482,6.24606293136929,"Mia R"
"Patagioenas fasciata",1.53218992208834,6.98301878552801,"Grant S"
"Patagioenas leucocephala",1.59927311000738,6.74169982897272,"Grant S"
"Patagioenas leucocephala",1.92239781917217,7.22274466812493,"Grant S"
"Patagioenas squamosa",1.37733131993655,8.35226617724821,"Bryan G"
"Patagioenas caribaea",1.19616019665904,4.70637847309172,"Grant S"
"Patagioenas araucana",1.70707385169848,5.88764464826767,"Mia R"
"Patagioenas leucocephala",0.836182621229224,5.64825855996407,"Mia R"
"Patagioenas caribaea",2.06127699404602,6.91188691894935,"Bryan G"
"Patagioenas squamosa",0.919267825568168,6.18549754055517,"Bryan G"
"Patagioenas caribaea",0.693581093020241,4.90378976126443,"Mia R"
"Patagioenas caribaea",1.40862691100447,5.36991715474882,"Bryan G"
"Patagioenas fasciata",0.96863874543135,5.90121504476289,"Grant S"
"Patagioenas fasciata",2.30077663907267,6.9481324312837,"Grant S"
"Patagioenas leucocephala",1.81112788476816,5.27169029262895,"Grant S"
"Patagioenas leucocephala",0.688518155268952,5.98409630033494,"Grant S"
"Patagioenas fasciata",1.68261221741968,6.62581723375721,"Grant S"
"Patagioenas fasciata",1.32249004681096,6.53943202759626,"Grant S"
"Patagioenas caribaea",0.878474932827833,6.60522330857323,"Grant S"
"Patagioenas squamosa",2.36189540020037,4.1033554979763,"Bryan G"
"Patagioenas leucocephala",1.61351730353933,6.60512955901411,"Mia R"
"Patagioenas caribaea",1.27755909446858,5.71098016419158,"Bryan G"
"Patagioenas caribaea",0.934514798284174,7.7999618141661,"Mia R"
"Patagioenas caribaea",2.31307653155618,6.60504929111021,"Bryan G"
"Patagioenas caribaea",0.848740547598119,7.50013273497751,"Bryan G"
"Patagioenas squamosa",3.09116232701881,7.25543122790534,"Bryan G"
"Patagioenas fasciata",2.04626863170164,3.11091363489807,"Grant S"
"Patagioenas leucocephala",1.12490507134244,7.340098836057,"Bryan G"
"Patagioenas araucana",1.43426527594545,5.29222205875423,"Grant S"
"Patagioenas araucana",1.24811698934975,7.26416887845084,"Bryan G"
"Patagioenas araucana",2.06418561406309,4.20979524522649,"Bryan G"
"Patagioenas leucocephala",0.948129338262867,6.97612175438424,"Mia R"
"Patagioenas araucana",2.19785824861428,6.85872282062633,"Grant S"
"Patagioenas leucocephala",0.619083528387396,6.94635027510112,"Bryan G"
"Patagioenas leucocephala",2.08617144925895,6.78081307554642,"Mia R"
"Patagioenas fasciata",0.599120855709567,7.23146776543263,"Mia R"
"Patagioenas caribaea",0.988871835511755,7.47078843447354,"Grant S"
"Patagioenas caribaea",1.17374147091066,7.10445958396023,"Grant S"
"Patagioenas fasciata",0.192585174517329,7.25540950789755,"Mia R"
"Patagioenas squamosa",2.53156665546214,6.85503515356775,"Mia R"
"Patagioenas araucana",1.2931995068833,5.01705467204478,"Mia R"
"Patagioenas squamosa",1.38985173260284,6.30367306312265,"Mia R"
"Patagioenas araucana",1.43197862920331,7.43670629429709,"Mia R"
"Patagioenas araucana",1.48764449998889,5.59542239734319,"Bryan G"
"Patagioenas squamosa",1.00565380390357,6.04571657846695,"Grant S"
"Patagioenas araucana",1.06818563216078,6.89304953389412,"Mia R"
"Patagioenas caribaea",1.14059706901784,6.11360820535804,"Grant S"
"Patagioenas fasciata",0.589649643064394,6.65831552897964,"Grant S"
"Patagioenas leucocephala",1.45844793203171,5.94881229627792,"Bryan G"
"Patagioenas fasciata",2.40599742135264,4.99648711888778,"Grant S"
"Patagioenas leucocephala",0.146843660486799,6.24792940705298,"Bryan G"
"Patagioenas fasciata",2.17961136393443,4.84466489343229,"Grant S"
"Patagioenas araucana",1.34223125249975,6.98900692385087,"Bryan G"
"Patagioenas caribaea",0.116269407318273,7.00645186862981,"Bryan G"
